Date,Customer,Product,Category,Quantity,Unit_Price,Revenue
2026-04-13,Manish Kumar,Keyboard,Accessories,5,1800,9000.0
2026-04-17,Arjun Verma,Office Chair,Furniture,5,8500,42500.0
2026-04-13,Aditya Jain,Tablet,Electronics,3,22000,66000.0
2026-03-16,Priya Singh,Office Chair,Furniture,5,8500,42500.0
2026-04-14,Neha Kapoor,Office Chair,Furniture,3,8500,25500.0
2026-02-22,Pooja Nair,Smartphone,Electronics,4,30000,120000.0
2026-02-07,Arjun Verma,Smartphone,Electronics,4,30000,120000.0
2026-06-10,Sneha Agarwal,Tablet,Electronics,5,22000,110000.0
2026-03-30,Rahul Joshi,Laptop,Electronics,3,55000,165000.0
2026-06-19,Aditya Jain,Headphones,Electronics,4,2500,10000.0
2026-03-05,Arjun Verma,Desk,Furniture,3,12000,36000.0
2026-02-20,Karan Patel,Backpack,Accessories,5,2200,11000.0
2026-06-16,,Smartphone,Electronics,4,30000,120000.0
2026-03-01,Karan Patel,Smartphone,Electronics,2,30000,60000.0
2026-03-31,Priya Singh,Mouse,Accessories,2,900,1800.0
2026-04-02,Vikram Shah,Backpack,Accessories,4,2200,8800.0
2026-01-08,Priya Singh,Headphones,Electronics,1,2500,2500.0
2026-02-19,Ananya Gupta,Office Chair,Furniture,4,8500,34000.0
2026-05-14,Priya Singh,Monitor,Electronics,2,12000,24000.0
2026-02-23,Sneha Agarwal,Smartphone,Electronics,2,30000,60000.0
2026-06-11,Pooja Nair,Tablet,Electronics,4,22000,88000.0
2026-04-05,Karan Patel,Office Chair,Furniture,4,8500,34000.0
2026-02-09,Ananya Gupta,Mouse,Accessories,5,900,4500.0
2026-04-21,Karan Patel,Mouse,Accessories,2,900,1800.0
2026-05-04,Manish Kumar,Desk,Furniture,5,12000,60000.0
2026-02-14,Aditya Jain,Laptop,Electronics,1,55000,55000.0
2026-01-09,Sneha Agarwal,Office Chair,Furniture,1,8500,8500.0
2026-05-16,Rohan Mehta,Office Chair,Furniture,3,8500,25500.0
2026-03-22,Rohan Mehta,Office Chair,Furniture,3,8500,25500.0
2026-02-02,Aditya Jain,Mouse,Accessories,2,900,1800.0
2026-02-10,Ishita Malhotra,Backpack,Accessories,1,2200,2200.0
2026-01-12,Aditya Jain,Smartphone,Electronics,1,30000,30000.0
2026-05-31,Rohan Mehta,Office Chair,Furniture,5,8500,42500.0
2026-06-21,Rohan Mehta,Office Chair,Furniture,3,8500,25500.0
2026-04-11,Arjun Verma,Headphones,Electronics,1,2500,2500.0
2026-05-22,Karan Patel,Backpack,Accessories,3,2200,6600.0
2026-01-15,Sneha Agarwal,Tablet,Electronics,2,22000,44000.0
2026-06-28,Priya Singh,Backpack,Accessories,1,2200,2200.0
2026-04-06,Aditya Jain,Keyboard,Accessories,5,1800,9000.0
2026-05-23,Aditya Jain,Keyboard,Accessories,5,1800,9000.0
2026-03-27,Vikram Shah,Smartphone,Electronics,2,30000,60000.0
2026-03-03,Neha Kapoor,Desk,Furniture,5,12000,60000.0
2026-01-28,Simran Kaur,Keyboard,Accessories,3,1800,5400.0
2026-04-02,Aarav Sharma,Desk,Furniture,1,12000,12000.0
2026-05-01,Vikram Shah,Desk,Furniture,4,12000,48000.0
2026-01-03,Karan Patel,Backpack,Accessories,3,2200,6600.0
2026-03-03,Rohan Mehta,Mouse,Accessories,1,900,900.0
2026-06-21,Neha Kapoor,Office Chair,Furniture,3,8500,25500.0
2026-06-09,Priya Singh,Office Chair,,1,8500,8500.0
2026-04-23,Priya Singh,Laptop,Electronics,2,55000,110000.0
2026-01-12,Rohan Mehta,Backpack,Accessories,2,2200,4400.0
2026-04-23,Ishita Malhotra,Mouse,Accessories,1,900,900.0
2026-03-22,Ananya Gupta,Laptop,Electronics,2,55000,110000.0
2026-02-23,Aarav Sharma,Backpack,Accessories,5,2200,11000.0
2026-05-09,Arjun Verma,Headphones,Electronics,2,2500,5000.0
2026-06-21,Aditya Jain,Tablet,Electronics,4,22000,88000.0
2026-05-03,Priya Singh,Laptop,Electronics,5,55000,275000.0
2026-04-08,Manish Kumar,Monitor,Electronics,3,12000,36000.0
2026-05-24,Sneha Agarwal,Laptop,Electronics,1,55000,55000.0
2026-03-11,Sneha Agarwal,Headphones,Electronics,4,2500,10000.0
2026-06-13,Rohan Mehta,Headphones,Electronics,2,2500,5000.0
2026-05-27,Karan Patel,Keyboard,Accessories,4,1800,7200.0
2026-06-10,Ishita Malhotra,Office Chair,Furniture,2,8500,17000.0
2026-05-09,Ananya Gupta,Desk,Furniture,1,12000,12000.0
2026-05-31,Aditya Jain,Tablet,Electronics,3,22000,66000.0
2026-05-24,Priya Singh,Tablet,Electronics,1,22000,22000.0
2026-03-01,Aarav Sharma,Laptop,Electronics,2,55000,110000.0
2026-02-17,Rahul Joshi,Mouse,Accessories,5,900,4500.0
2026-01-09,Rohan Mehta,Desk,Furniture,3,12000,36000.0
2026-02-17,Ishita Malhotra,Headphones,Electronics,4,2500,10000.0
2026-02-23,Ishita Malhotra,Office Chair,Furniture,1,8500,8500.0
2026-04-26,Neha Kapoor,Laptop,Electronics,4,55000,220000.0
2026-04-14,Pooja Nair,Keyboard,Accessories,3,1800,5400.0
2026-04-09,Ananya Gupta,Desk,Furniture,5,12000,60000.0
2026-05-08,Neha Kapoor,Smartphone,Electronics,2,30000,60000.0
2026-06-12,Aarav Sharma,Desk,Furniture,4,12000,48000.0
2026-03-09,Priya Singh,Laptop,Electronics,5,55000,275000.0
2026-05-08,Aarav Sharma,Office Chair,Furniture,3,8500,25500.0
2026-05-08,Rahul Joshi,Laptop,Electronics,4,55000,220000.0
2026-04-25,Rohan Mehta,Monitor,Electronics,5,12000,60000.0
2026-01-08,Pooja Nair,Smartphone,Electronics,5,30000,150000.0
2026-04-07,Sneha Agarwal,Laptop,Electronics,5,55000,275000.0
2026-03-02,Rohan Mehta,Headphones,Electronics,4,2500,10000.0
2026-02-18,Sneha Agarwal,Laptop,Electronics,4,55000,220000.0
2026-06-07,Sneha Agarwal,Mouse,Accessories,3,900,2700.0
2026-02-06,Aarav Sharma,Office Chair,Furniture,5,8500,42500.0
2026-02-15,Sneha Agarwal,Mouse,Accessories,3,900,2700.0
2026-04-26,Rohan Mehta,Mouse,Accessories,1,900,900.0
2026-05-08,Simran Kaur,Smartphone,Electronics,1,30000,30000.0
2026-02-23,Ishita Malhotra,Tablet,Electronics,3,22000,66000.0
2026-06-23,Manish Kumar,Office Chair,Furniture,2,8500,17000.0
2026-03-27,Manish Kumar,Backpack,Accessories,2,2200,
2026-06-04,Simran Kaur,Tablet,Electronics,2,22000,44000.0
2026-01-17,Karan Patel,Office Chair,Furniture,1,8500,8500.0
2026-02-12,Simran Kaur,Monitor,Electronics,5,12000,60000.0
2026-01-26,Karan Patel,Headphones,Electronics,2,2500,5000.0
2026-06-01,Priya Singh,Tablet,Electronics,1,22000,22000.0
2026-06-22,Ishita Malhotra,Keyboard,Accessories,1,1800,1800.0
2026-05-24,Ananya Gupta,Headphones,Electronics,4,2500,10000.0
2026-03-07,Karan Patel,Backpack,Accessories,3,2200,6600.0
2026-03-04,Simran Kaur,Monitor,Electronics,2,12000,24000.0
2026-03-27,Simran Kaur,Laptop,Electronics,4,55000,220000.0
2026-03-11,Sneha Agarwal,Monitor,Electronics,3,12000,36000.0
2026-04-11,Sneha Agarwal,Laptop,Electronics,5,55000,275000.0
2026-04-18,Neha Kapoor,Mouse,Accessories,4,900,3600.0
2026-04-19,Aditya Jain,Keyboard,Accessories,3,1800,5400.0
2026-06-17,Ananya Gupta,Keyboard,Accessories,5,1800,9000.0
2026-05-04,Aarav Sharma,Tablet,Electronics,3,22000,66000.0
2026-04-30,Simran Kaur,Headphones,Electronics,4,2500,10000.0
2026-03-31,Arjun Verma,Mouse,Accessories,2,900,1800.0
2026-03-03,Sneha Agarwal,Backpack,Accessories,1,2200,2200.0
2026-05-09,Aarav Sharma,Tablet,Electronics,2,22000,44000.0
2026-02-03,Ishita Malhotra,Monitor,Electronics,1,12000,12000.0
